scaling_coefficients,math_acc,law_acc,mean_bleu,normalized_math,normalized_law,normalized_mean
"[0.1, 0.0]",0.555,0.27,0.4125,58.05439331,38.33593639,48.19516485
"[0.1, 0.1]",0.5271,0.3164,0.42175,55.13598326,44.92403805,50.03001066
"[0.1, 0.2]",0.516,0.4093,0.46265,53.9748954,58.11443987,56.04466763
"[0.1, 0.3]",0.5013,0.4843,0.4928,52.43723849,68.76331109,60.60027479
"[0.1, 0.4]",0.4899,0.5636,0.52675,51.24476987,80.02271759,65.63374373
"[0.1, 0.5]",0.4786,0.6129,0.54575,50.06276151,87.02257561,68.54266856
"[0.1, 0.6]",0.4695,0.6486,0.55905,49.11087866,92.09143831,70.60115848
"[0.1, 0.7]",0.4606,0.6786,0.5696,48.17991632,96.3509868,72.26545156
"[0.1, 0.8]",0.4543,0.6993,0.5768,47.5209205,99.29007525,73.40549788
"[0.1, 0.9]",0.448,0.7093,0.57865,46.86192469,100.7099247,73.78592472
"[0.1, 1.0]",0.4421,0.7121,0.5771,46.24476987,101.1074826,73.67612624
"[0.1, 1.1]",0.4343,0.71,0.57215,45.42887029,100.8093142,73.11909225
"[0.1, 1.2]",0.4242,0.71,0.5671,44.37238494,100.8093142,72.59084957
"[0.1, 1.3]",0.411,0.7021,0.55655,42.9916318,99.68763311,71.33963246
"[0.2, 0.0]",0.7071,0.2964,0.50175,73.96443515,42.08433906,58.0243871
"[0.2, 0.1]",0.6578,0.2993,0.47855,68.80753138,42.49609541,55.6518134
"[0.2, 0.2]",0.6618,0.3829,0.52235,69.22594142,54.3660372,61.79598931
"[0.2, 0.3]",0.6481,0.4579,0.553,67.79288703,65.01490842,66.40389772
"[0.2, 0.4]",0.6343,0.5421,0.5882,66.34937238,76.97004118,71.65970678
"[0.2, 0.5]",0.6147,0.6021,0.6084,64.29916318,85.48913815,74.89415067
"[0.2, 0.6]",0.5962,0.6486,0.6224,62.36401674,92.09143831,77.22772752
"[0.2, 0.7]",0.576,0.6793,0.62765,60.25104603,96.45037626,78.35071114
"[0.2, 0.8]",0.5545,0.6986,0.62655,58.00209205,99.19068579,78.59638892
"[0.2, 0.9]",0.5376,0.7129,0.62525,56.23430962,101.2210706,78.72769009
"[0.2, 1.0]",0.5219,0.7129,0.6174,54.59205021,101.2210706,77.90656039
