scaling_coefficients,math_acc,law_acc,mean_bleu,normalized_math,normalized_law,normalized_mean,
"[0.1, 0.0]",0.5453,0.2679,0.4066,0.4066,57.04571608,38.037768,47.54174204
"[0.1, 0.1]",0.5325,0.3171,0.4248,0.4248,55.70666388,45.02342752,50.3650457
"[0.1, 0.2]",0.5244,0.4143,0.46935,0.46935,54.85929491,58.82436462,56.84182976
"[0.1, 0.3]",0.5142,0.4921,0.50315,0.50315,53.79223768,69.8707937,61.83151569
"[0.1, 0.4]",0.5097,0.565,0.53735,0.53735,53.32147714,80.22149652,66.77148683
"[0.1, 0.5]",0.5028,0.6136,0.5582,0.5582,52.59964431,87.12196507,69.86080469
"[0.1, 0.6]",0.496,0.65,0.573,0.573,51.88827283,92.29021724,72.08924503
"[0.1, 0.7]",0.4938,0.6807,0.58725,0.58725,51.65812323,96.64915519,74.15363921
"[0.1, 0.8]",0.4872,0.7007,0.59395,0.59395,50.96767444,99.48885418,75.22826431
"[0.1, 0.9]",0.4829,0.7086,0.59575,0.59575,50.51783659,100.6105353,75.56418594
"[0.1, 1.0]",0.4786,0.7107,0.59465,0.59465,50.06799874,100.9087037,75.48835121
"[0.1, 1.1]",0.4702,0.7143,0.59225,0.59225,49.18924574,101.4198495,75.30454762
"[0.1, 1.2]",0.4614,0.7114,0.5864,0.5864,48.26864735,101.0080931,74.63837025
"[0.1, 1.3]",0.4518,0.7,0.5759,0.5759,47.2643582,99.38946472,73.32691146
"[0.2, 0.0]",0.6937,0.2943,0.494,0.494,72.57035255,41.78617067,57.17826161
"[0.2, 0.1]",0.6638,0.3107,0.48725,0.48725,69.44241029,44.11472384,56.77856707
"[0.2, 0.2]",0.67,0.39,0.53,0.53,70.0910137,55.37413034,62.73257202
"[0.2, 0.3]",0.6601,0.4643,0.5622,0.5622,69.05534052,65.9236121,67.48947631
"[0.2, 0.4]",0.6445,0.55,0.59725,0.59725,67.42337065,78.09172228,72.75754646
"[0.2, 0.5]",0.6299,0.61,0.61995,0.61995,65.89601423,86.61081925,76.25341674
"[0.2, 0.6]",0.6134,0.6479,0.63065,0.63065,64.16989225,91.99204884,78.08097055
"[0.2, 0.7]",0.5974,0.6821,0.63975,0.63975,62.496077,96.84793412,79.67200556
"[0.2, 0.8]",0.5802,0.7021,0.64115,0.64115,60.6967256,99.68763311,80.19217935
"[0.2, 0.9]",0.5644,0.7114,0.6379,0.6379,59.04383304,101.0080931,80.02596309
"[0.2, 1.0]",0.5539,0.71,0.63195,0.63195,57.94539178,100.8093142,79.377353
"[0.2, 1.1]",0.5392,0.7136,0.6264,0.6264,56.40757401,101.32046,78.86401702
"[0.2, 1.2]",0.5258,0.7057,0.61575,0.61575,55.00575374,100.1987789,77.60226633
"[0.2, 1.3]",0.5095,0.6986,0.60405,0.60405,53.30055445,99.19068579,76.24562012
"[0.3, 0.0]",0.8069,0.3143,0.5606,0.5606,84.41259546,44.62586966,64.51923256
"[0.3, 0.1]",0.7656,0.3057,0.53565,0.53565,80.09205984,43.40479909,61.74842947
"[0.3, 0.2]",0.7798,0.3714,0.5756,0.5756,81.57757088,52.73321028,67.15539058
"[0.3, 0.3]",0.7821,0.4386,0.61035,0.61035,81.81818182,62.27459889,72.04639036
"[0.3, 0.4]",0.7736,0.5143,0.64395,0.64395,80.92896747,73.02285958,76.97591352
"[0.3, 0.5]",0.7596,0.5879,0.67375,0.67375,79.46437912,83.47295187,81.46866549
"[0.3, 0.6]",0.7378,0.6386,0.6882,0.6882,77.18380584,90.67158881,83.92769732
